evcode,relocated_latitude,relocated_longitude,relocated_time,max_cc,eff_nstations,Ms_BB,detected_time,detected_latitude,detected_longitude,quality_group,usgs_event,poli_event,csf_az,csf_amp
201806180450,-75.12,-99.65,2018-06-18T04:50:47.000000Z,0.83,5.82,2.57,2018-06-18T04:50:52.000000Z,-75.18,-98.88,B,False,False,-72.00,299339505564.45
201806200059,-75.26,-99.56,2018-06-20T00:59:33.000000Z,0.81,5.99,2.55,2018-06-20T00:59:34.000000Z,-75.18,-98.88,C,False,False,,
201806211931,-75.25,-99.37,2018-06-21T19:31:25.000000Z,0.84,5.98,2.62,2018-06-21T19:31:27.069536Z,-75.18,-98.88,B,False,False,-172.00,430189957015.25
201806231411,-75.28,-99.58,2018-06-23T14:11:25.000000Z,0.80,6.02,2.44,2018-06-23T14:11:26.000000Z,-75.18,-98.88,C,False,False,126.00,300702897695.40
201806250231,-75.31,-99.51,2018-06-25T02:31:44.000000Z,0.81,5.98,2.35,2018-06-25T02:31:44.000000Z,-75.18,-98.88,C,False,False,,
201806302057,-75.41,-99.76,2018-06-30T20:57:07.000000Z,0.84,6.18,2.48,2018-06-30T20:57:14.000000Z,-75.62,-99.16,A,False,False,158.00,423948947601.10
201807091225,-75.48,-99.80,2018-07-09T12:25:41.000000Z,0.79,6.26,2.32,2018-07-09T12:25:48.000000Z,-75.62,-99.16,C,False,False,,
201807142304,-75.41,-99.94,2018-07-14T23:04:39.000000Z,0.76,6.14,2.47,2018-07-14T23:04:34.000000Z,-75.10,-100.62,C,False,False,-18.00,390726632176.89
201810111104,-75.44,-100.32,2018-10-11T11:04:36.000000Z,0.70,6.13,2.23,2018-10-11T11:04:46.000000Z,-75.54,-100.95,C,False,False,,
201811081110,-75.42,-101.50,2018-11-08T11:10:06.000000Z,0.75,5.93,2.19,2018-11-08T11:10:10.000000Z,-75.54,-100.95,C,False,False,164.00,186815910459.90
201811221237,-75.39,-101.75,2018-11-22T12:37:38.000000Z,0.78,6.03,2.22,2018-11-22T12:37:44.000000Z,-75.54,-100.95,C,False,False,,
201811231859,-75.36,-101.82,2018-11-23T18:59:17.000000Z,0.80,5.77,2.15,2018-11-23T18:59:24.000000Z,-75.45,-102.72,C,False,False,,
201811290721,-75.37,-101.73,2018-11-29T07:20:55.000000Z,0.85,6.00,2.42,2018-11-29T07:21:02.000000Z,-75.54,-100.95,B,False,False,176.00,398102221333.23
201904231957,-75.10,-100.08,2019-04-23T19:57:43.000000Z,0.83,6.42,2.37,2019-04-23T19:57:40.000000Z,-74.57,-101.98,C,False,False,-84.00,338492066783.59
201905240905,-75.68,-100.03,2019-05-24T09:05:12.000000Z,0.82,7.29,2.27,2019-05-24T09:05:14.000000Z,-75.62,-99.16,B,False,False,120.00,291148521645.68
201907030731,-75.55,-99.76,2019-07-03T07:30:54.000000Z,0.85,7.02,2.38,2019-07-03T07:31:00.000000Z,-75.62,-99.16,B,False,False,-56.00,323423787295.58
201908120538,-75.49,-99.71,2019-08-12T05:38:40.000000Z,0.74,6.87,2.10,2019-08-12T05:38:48.000000Z,-75.62,-99.16,C,False,False,128.00,310285391515.42
201910211753,-75.23,-98.73,2019-10-21T17:52:58.000000Z,0.76,6.78,2.20,2019-10-21T17:53:02.000000Z,-75.18,-98.88,C,False,False,,
201912090253,-75.32,-102.61,2019-12-09T02:53:11.000000Z,0.82,4.60,1.99,2019-12-09T02:53:18.000000Z,-75.45,-102.72,B,False,False,-4.00,128326833390.71
201912101410,-75.57,-101.90,2019-12-10T14:10:08.000000Z,0.71,6.85,1.94,2019-12-10T14:10:10.000000Z,-75.45,-102.72,B,False,False,,
202003191155,-75.51,-101.66,2020-03-19T11:55:25.000000Z,0.80,6.78,2.18,2020-03-19T11:55:28.000000Z,-75.54,-100.95,B,False,False,-4.00,343623942054.47
202004051734,-75.40,-101.12,2020-04-05T17:34:09.000000Z,0.68,6.66,2.34,2020-04-05T17:34:14.000000Z,-75.54,-100.95,B,False,False,,
202004150526,-75.58,-101.63,2020-04-15T05:26:23.000000Z,0.81,6.89,2.29,2020-04-15T05:26:24.000000Z,-75.54,-100.95,B,False,False,162.00,379668591137.88
202004162342,-75.22,-99.36,2020-04-16T23:42:36.000000Z,0.71,6.53,2.43,2020-04-16T23:42:38.000000Z,-75.18,-98.88,B,False,False,-64.00,541239283289.38
202004230142,-75.63,-101.49,2020-04-23T01:41:54.000000Z,0.74,5.09,2.14,2020-04-23T01:42:00.000000Z,-75.45,-102.72,C,False,False,10.00,319389937032.42
202004270454,-75.46,-102.18,2020-04-27T04:54:43.000000Z,0.68,6.66,2.19,2020-04-27T04:54:48.000000Z,-75.45,-102.72,C,False,False,-14.00,362816524919.70
202005091410,-74.99,-98.86,2020-05-09T14:10:40.000000Z,0.77,6.31,2.00,2020-05-09T14:10:38.000000Z,-74.73,-98.62,C,False,False,84.00,203307129032.06
202008260300,-75.50,-101.47,2020-08-26T03:00:14.000000Z,0.73,6.54,2.01,2020-08-26T03:00:18.000000Z,-75.54,-100.95,C,False,False,,
202010240210,-75.40,-99.02,2020-10-24T02:10:00.000000Z,0.84,5.36,1.99,2020-10-24T02:10:00.000000Z,-75.18,-98.88,B,False,False,106.00,123676071151.30
202011291152,-75.50,-101.47,2020-11-29T11:52:18.000000Z,0.77,6.75,2.01,2020-11-29T11:52:24.000000Z,-75.54,-100.95,C,False,False,,
202305270743,-75.34,-101.35,2023-05-27T07:43:18.000000Z,0.81,5.86,2.02,2023-05-27T07:43:24.000000Z,-75.54,-100.95,B,False,False,4.00,140584946487.06
