evcode,relocated_latitude,relocated_longitude,relocated_time,max_cc,eff_nstations,Ms_BB,detected_time,detected_latitude,detected_longitude,quality_group,usgs_event,poli_event,csf_az,csf_amp
201208030606,-76.40,163.76,2012-08-03T06:06:15.000000Z,0.83,2.36,3.48,2012-08-03T06:06:28.000000Z,-76.66,164.05,B,False,False,-60.00,1293445702754.30
201208260216,-75.12,-106.34,2012-08-26T02:15:58.000000Z,0.65,5.43,2.14,2012-08-26T02:16:04.000000Z,-75.22,-106.19,C,False,False,,
201209061239,-76.72,-149.19,2012-09-06T12:39:21.000000Z,0.90,2.23,3.09,2012-09-06T12:39:26.000000Z,-76.64,-149.04,A,False,False,48.00,749340453420.40
201210020237,-75.56,-109.07,2012-10-02T02:37:45.000000Z,0.73,6.74,2.35,2012-10-02T02:37:48.000000Z,-75.52,-108.43,B,False,False,-170.00,267483801621.70
201210022200,-74.58,-136.86,2012-10-02T22:00:43.000000Z,0.81,2.13,2.36,2012-10-02T22:00:42.000000Z,-74.46,-137.39,C,False,False,,
201210111110,-74.68,-137.54,2012-10-11T11:10:53.000000Z,0.90,2.14,2.43,2012-10-11T11:10:52.000000Z,-74.46,-137.39,B,False,False,,
201210180822,-75.47,-106.95,2012-10-18T08:22:04.000000Z,0.84,3.85,2.22,2012-10-18T08:22:00.000000Z,-75.22,-106.19,B,False,False,,
201210190715,-75.32,-106.49,2012-10-19T07:15:01.000000Z,0.75,3.69,2.28,2012-10-19T07:15:02.000000Z,-75.22,-106.19,B,False,False,,
201210192125,-74.55,-137.52,2012-10-19T21:25:41.000000Z,0.93,2.11,2.49,2012-10-19T21:25:44.000000Z,-74.46,-137.39,A,False,False,,
201210310126,-74.62,-137.41,2012-10-31T01:26:35.000000Z,0.93,2.15,2.76,2012-10-31T01:26:36.000000Z,-74.46,-137.39,A,False,False,158.00,619257499069.70
201211111346,-75.27,-136.38,2012-11-11T13:46:42.000000Z,0.89,1.86,2.48,2012-11-11T13:46:52.000000Z,-75.43,-136.27,B,False,False,160.00,402405430418.44
201211121033,-74.43,-137.50,2012-11-12T10:32:54.000000Z,0.82,2.10,2.19,2012-11-12T10:33:00.000000Z,-74.46,-137.39,B,False,False,,
201211170201,-74.45,-99.74,2012-11-17T02:01:07.000000Z,0.70,2.73,2.21,2012-11-17T02:01:08.000000Z,-74.21,-100.01,C,False,False,,
201211200626,-74.81,-137.08,2012-11-20T06:26:35.000000Z,0.91,2.21,2.41,2012-11-20T06:26:30.000000Z,-74.46,-137.39,A,False,False,,
201211211600,-75.28,-106.35,2012-11-21T16:00:52.000000Z,0.80,3.63,2.16,2012-11-21T16:00:54.000000Z,-75.22,-106.19,B,False,False,-22.00,156751018407.99
201212011554,-74.59,-137.17,2012-12-01T15:54:49.000000Z,0.86,1.90,2.54,2012-12-01T15:54:48.000000Z,-74.46,-137.39,B,False,False,-20.00,616864648775.12
201212031342,-75.45,-110.83,2012-12-03T13:42:06.000000Z,0.82,4.69,2.23,2012-12-03T13:42:08.000000Z,-75.21,-111.80,B,False,False,,
201212080937,-75.37,-109.65,2012-12-08T09:37:21.000000Z,0.73,4.53,2.32,2012-12-08T09:37:26.000000Z,-75.37,-110.14,B,False,False,-2.00,189847035815.18
201212101215,-74.70,-137.36,2012-12-10T12:15:58.000000Z,0.91,2.17,2.62,2012-12-10T12:15:56.000000Z,-74.46,-137.39,A,False,False,162.00,286617519277.77
201212130418,-75.41,-106.22,2012-12-13T04:18:42.000000Z,0.90,3.20,2.50,2012-12-13T04:18:42.000000Z,-75.22,-106.19,A,False,False,154.00,349284147211.35
201212230622,-75.27,-105.87,2012-12-23T06:22:00.000000Z,0.81,3.64,2.30,2012-12-23T06:22:04.000000Z,-75.22,-106.19,B,False,False,160.00,312128569443.59
201212230950,-74.79,-137.87,2012-12-23T09:50:21.000000Z,0.86,2.19,2.36,2012-12-23T09:50:34.000000Z,-75.10,-137.49,A,False,False,158.00,362195535786.27
201212272348,-75.52,-106.92,2012-12-27T23:48:50.000000Z,0.77,4.04,2.29,2012-12-27T23:48:46.000000Z,-75.22,-106.19,B,False,False,-12.00,222626894580.87
201212280156,-74.96,-137.16,2012-12-28T01:56:49.000000Z,0.89,2.27,2.33,2012-12-28T01:56:56.000000Z,-75.10,-137.49,A,False,False,,
201212300141,-74.26,-138.30,2012-12-30T01:41:24.000000Z,0.86,1.71,2.47,2012-12-30T01:41:24.000000Z,-74.12,-138.50,C,False,False,,
201301020054,-74.51,-138.35,2013-01-02T00:54:28.000000Z,0.84,2.10,2.39,2013-01-02T00:54:22.000000Z,-74.12,-138.50,C,False,False,,
201301030002,-74.57,-135.84,2013-01-03T00:02:59.000000Z,0.78,2.19,2.28,2013-01-03T00:02:52.000000Z,-74.15,-136.17,C,False,False,,
201301040333,-74.34,-138.14,2013-01-04T03:33:11.000000Z,0.82,2.07,2.26,2013-01-04T03:33:08.000000Z,-74.12,-138.50,B,False,False,,
201301050728,-74.48,-138.23,2013-01-05T07:28:11.000000Z,0.79,2.10,2.33,2013-01-05T07:28:04.000000Z,-74.12,-138.50,B,False,False,,
201301061218,-75.62,-106.94,2013-01-06T12:18:19.000000Z,0.79,4.03,2.52,2013-01-06T12:18:12.000000Z,-75.22,-106.19,B,False,False,,
201301140635,-74.92,-107.94,2013-01-14T06:35:22.000000Z,0.78,3.36,2.49,2013-01-14T06:35:20.000000Z,-74.66,-107.35,C,False,False,,
201301200831,-74.78,-113.48,2013-01-20T08:31:36.000000Z,0.80,3.31,2.66,2013-01-20T08:31:48.000000Z,-75.04,-113.43,B,False,False,-140.00,625295921865.15
201301231224,-72.85,-93.82,2013-01-23T12:24:30.000000Z,0.87,2.91,2.74,2013-01-23T12:24:42.000000Z,-73.04,-94.64,B,False,False,88.00,387506898729.15
201301250943,-74.76,-135.97,2013-01-25T09:43:04.000000Z,0.73,2.24,2.31,2013-01-25T09:43:10.000000Z,-74.79,-136.22,C,False,False,,
201301282346,-74.76,-107.56,2013-01-28T23:46:47.000000Z,0.79,4.87,2.79,2013-01-28T23:46:50.000000Z,-74.66,-107.35,B,False,False,-144.00,738649557732.43
201301290214,-75.44,-107.75,2013-01-29T02:14:21.000000Z,0.77,6.20,2.62,2013-01-29T02:14:28.000000Z,-75.52,-108.43,C,False,True,36.00,662920869409.26
